instance,gini_clause_size,gini_var_occurrence,gini_lit_occurrence,avg_overlap_vars,avg_overlap_lits
3aad7c1ad4a55fb3d2ea15555237b1f5-rand_net70-40-5.shuffled,0.0978732,0.154563,0.1767,0.519718,0.469047
09d28c69565ac70180226a4de7ae2d3d-unif-k3-r4.267-v5800-c24749-S3684502048400855422,0.0,0.15818,0.22011,0.333459,0.333399
5405ac1723a61d5e7a756fff9a2e61d2-connm-ue-csp-sat-n800-d0.04-s1788334438.sat05-543.reshuffled-07,0.00639558,0.195821,0.571814,0.350221,0.351068
330b5cc22e4f1200409857f9504093bf-okgen-c2800-v700-s809523539-809523539,0.0,0.166851,0.230264,0.334343,0.334044
09da634218419c697274d5253786bc4f-okgen-c500-v250-s863950959-863950959,0.0,0.220759,0.283304,0.336589,0.334698
7c259d1ebd05ebd73efbd87472784c0c-unif-k5-r21.3-v125-c2662-S118521533-021.UNKNOWN,0.0,0.0545779,0.0758071,0.21348,0.206536
f09104b03d1bcdb6542c750879753fdf-fla-barthel-200-3,0.0,0.158814,0.236936,0.337134,0.335772
7ded5a1993e1fc6df9d0e3623bc64d1e-SGI_30_70_23_50_1-dir.shuffled-as.sat03-156,0.00584911,0.133865,0.560663,0.500542,0.5
2d31da8d0a5e5c20cd78ef05d8b563dc-Sz512_15127_6.smt2,0.101717,0.181627,0.20338,0.511895,0.449862
bfb2e01c474486a2b241073032999408-eq.atree.braun.10.unsat,0.107096,0.219778,0.231492,0.491957,0.419268
92f5f8bad61fc398b0d8c11f33f4b561-unif-k3-r4.26-v500-c2130-S1517537144-16.UNSAT.shuffled,0.0,0.156848,0.216314,0.334637,0.333957
fe1aca604f1c1b7a79ddea8f0785cfb4-hidden-k3-s1-r6-n500-03-S408319111.shuffled-as.sat03-1022,0.0,0.138548,0.209579,0.334625,0.334047
cfdad2a030c0c3e8ed2fae050ead7c0b-qg4-9.shuffled,0.100766,0.00737957,0.226765,0.418374,0.419758
30c33c3790edbda65fc75cc77605f31f-lec_mult_KvW_12x12.sanitized,0.0961639,0.220674,0.253772,0.513041,0.458816
a4650fae682d61b7b9e54b7ea26bcd9b-unif-k3-r4.26-v400-c1704-S549184435-037.UNKNOWN,0.0,0.150884,0.208867,0.335015,0.334207
c3b9c40e8321bc16471e0e5319280dd7-unif-k3-r4.26-v550-c2343-S960198064-030.SATISFIABLE,0.0,0.158889,0.225847,0.334537,0.333791
69ad7473757d30d55fabab7882268483-BubbleVsPancakeSort_9_4,0.152472,0.421445,0.437731,0.38481,0.358302
6d8dcd7d052fc65354a5aeb4679185c1-fdmus_b21_379,0.0927298,0.203749,0.240711,0.49675,0.462228
e40736ff7c03687dfaacce1da730d115-bf1355-662,0.12725,0.24809,0.301901,0.489726,0.465867
48eadf7f72185cdeff63995004f25eb1-eqbparrc18spwtrc18,0.0952584,0.223157,0.258403,0.493829,0.451478
fed96759fadd19088e6038555d195a2f-unif-k5-r20-v750-c15000-S1207160791-083-UNKNOWN,0.0,0.0558001,0.0808051,0.202171,0.201081
73932a9e85c1685fb2e923b5381674a3-pmg-12-UNSAT.sat05-3940.reshuffled-07,0.101546,0.201336,0.200039,0.358491,0.343711
f0322552344bc42d84a64d739c912684-fdmus_b17_834,0.0936895,0.213711,0.255236,0.488497,0.462259
64fd584c73b8be763bb81e41107aa33a-unif-k7-r85-v220-c18700-S193214747-044,0.0,0.0252841,0.0350939,0.155136,0.148862
626a60a465de2c9346618351b409622b-connm-ue-csp-sat-n600-d-0.04-s1865234776.used-as.sat04-966,0.00713059,0.164367,0.553019,0.352491,0.353624
d5262ba0b0d305cdf92ca06d05a6c016-pbl-00080.shuffled-as.sat05-1315.shuffled-as.sat05-1315,0.134994,0.635532,0.737935,0.267527,0.313325
0b2011ed2094d1ed7eafb7615c484e5e-tseitingrid7x200_shuffled,0.0,0.0,0.0,0.384615,0.318182
f3bda5fcae82cfa27460df877965eeca-jkkk-one-one-10-30-unsat,0.249359,0.541519,0.605758,0.452226,0.445005
f463f2d0d64e59ba92d2893e988e6ced-unif-c1290-v300-s1571496037,0.0,0.148208,0.211734,0.335256,0.334332
1fc3fe649a7986ec0d5aa721d62308d2-bench_8236.smt2,0.117641,0.326186,0.341651,0.404086,0.389111
467c76dcf28285920cc3f592301f07a9-glassyb-v399-s1267848873,0.0,0.0,0.148299,0.334874,0.334218
105d26b6bec8c767b639c345828e1fe4-unif-k7-r89-v45-c4005-S2067396253-13.UNSAT.shuffled,0.0,0.018534,0.0275937,0.215491,0.17542
481a8926144c42398718048e16bcdb65-3col60_5_8.shuffled,0.0628487,0.0029595,0.125606,0.605609,0.387636
cb87f89578c13d544987acb5c903c9eb-fla-barthel-320-2,0.0,0.155822,0.228485,0.335348,0.334273
389bb0a8f3568f4bd0e71771df9093c5-BubbleVsPancakeSort_7_6,0.153959,0.453043,0.471865,0.378081,0.351431
8acadf537a2743d7335a2fd42fc12994-tseitingrid7x140_shuffled,0.0,0.0,0.0,0.384615,0.318182
0391a7be47a1d4f1bf2180cffea667b1-unif-k5-r21.3-v100-c2130-S2051088205-036.UNKNOWN,0.0,0.0563887,0.0796047,0.217077,0.208399
8d7efdd2314bc82962a301351e581ea0-hidden-k3-s2-r4-n700-03-S1945356584.shuffled-as.sat03-1047,0.0,0.165962,0.226131,0.334423,0.33389
6f4c5eff2095bd848f1dd2926b76ca92-x9-04019.sat.sanitized,0.108548,0.0469185,0.327188,0.529077,0.497524
181c035388cfa7707a2fa315f5a54353-hidden-k3-s2-r4-n500-01-S1373238829.shuffled-as.sat03-1035,0.0,0.158547,0.218784,0.334628,0.334197
bb659c9e0ab66799f0027749fa6db937-okgen-c1000-v250-s1288112625-1288112625,0.0,0.153475,0.218107,0.336081,0.33458
773008bdac98754a97b1f5f703449f14-combined-crypto1-wff-seed-32-wffvars-450-cryptocplx-40-overlap-2,0.154051,0.560248,0.556397,0.27177,0.226196
83008eace6e2f1e42516e69b5d49a4fb-ooo.rf8.ucl.sat.chaff.4.1.bryant,0.0915871,0.252729,0.297853,0.482109,0.450073
57e9a0c95eefba8f8a663df567eb9a88-fdmus_b21_140,0.0928257,0.208083,0.246392,0.492603,0.460944
db5b9e589631029e41fa2649d81399e3-okgen-c2800-v700-s349706041-349706041,0.0,0.159074,0.224624,0.334245,0.333785
d77a397fc329584c25132a80004219ac-OKgenerator_s0=32s1=40n=4000l=3cp=16800-Dnr0=0nr1=4-o.shuffled-as.sat05-1673,0.0,0.15937,0.222366,0.333495,0.333403
30fb03d6138b38afe59bd02d86779502-fdmus_b14_196,0.0924468,0.204551,0.242658,0.500694,0.462296
98a903437e75c909ea64eafcbadb4033-unif-r4.25-v600-c2550-07-S2114064265.used-as.sat04-77,0.0,0.146098,0.212841,0.334477,0.334011
e04fa09a30496866e0c857c9919e3489-unif2p-p0.7-v6500-c17355-S211365596-08-UNSAT,0.0777757,0.209202,0.269234,0.399701,0.399821
9e900194332f7139172b57a328ffaa9a-fdmus_b21_495,0.0926669,0.204255,0.241154,0.493944,0.461366
b0156c51c5ce55693033b0f28d33686b-x9-08032.sat.sanitized,0.108484,0.0514378,0.329688,0.528982,0.497527
148246a7ab6150ba607059f3f8adc307-x9-11072.sat.sanitized,0.108525,0.0480973,0.327865,0.529057,0.497535
84814c278c6ebf0c1f9718c2bff8f1d0-bench_8779.smt2,0.106727,0.276262,0.287611,0.451799,0.401935
bbd09012f3a26e62326bf641e0904c02-c1908,0.099156,0.200227,0.215032,0.532998,0.477524
d7f381cd99ca40ba3324c8cc03a54269-mchess16-mixed-25percent-blocked,0.0905227,0.966445,0.263172,0.5,0.5
59b8cf531821ed3e2d5bd14e1e17a467-x9-12096.sat.sanitized,0.10847,0.0474261,0.327731,0.529052,0.497579
1c3abce44050ac9e289c84b42f29e62b-manthey_DimacsSorterHalf_29_2,0.111831,0.19763,0.240386,0.526996,0.49053
a14004e92effe93ea79dbf1b269bf3bb-iso-brn004.shuffled-as.sat05-2698,0.267663,0.653718,0.640683,0.265142,0.234808
b45b7a168bf6e357b33dd10578b71c27-manthey_DimacsSorterHalf_30_0,0.103007,0.16562,0.211929,0.530925,0.48873
645560b13232e3b931ad8759c0fea6f7-iso-icl009.shuffled-as.sat05-2734,0.273554,0.731144,0.638596,0.266213,0.235821
a8e9a2fb564409acbde58fd4c476bc44-unif-k4-r9.83-v1800-c17694-S2454958176786042401,0.0,0.0882639,0.126153,0.250637,0.250322
aeafeeb97f11a6fcb9bfe7b4513c1f5a-bench_3580.smt2,0.107798,0.275959,0.288717,0.454359,0.40262
bf98b225d34a293bb9d10f588e2653a9-ferry6_v01a.renamed-as.sat05-3998,0.136164,0.280712,0.481979,0.51566,0.500868
8d88440a6ee7d0081294896a1e25fdbd-linvrinv8.sat05-567.reshuffled-07,0.0850044,0.20748,0.218542,0.483124,0.402238
b1fab5c570d9365db1209daf8b22af9f-uniqinv20prop,0.0952799,0.151601,0.188429,0.509315,0.44963
ebe1434a8d1397230b180f3ad22bdf88-x9-10066.sat.sanitized,0.108538,0.0478489,0.327692,0.529056,0.497519
6049e056b2b148699dcf0268652c9ffd-multiplier_14bits__miter_19,0.0951577,0.213279,0.247149,0.51667,0.457838
0cc8e1b4c551dc45db6f850a9b77a7ad-unif-k4-r9.729-v2800-c27241-S8869022836034848788,0.0,0.0903206,0.128233,0.250408,0.250208
1ce81dbba1292bf791e194b17aa2a219-satch2ways15u,0.247804,0.408111,0.460517,0.466811,0.423957
fc9a8176ef5f37d334e3cd4ab2763d4f-x9-09071.sat.sanitized,0.108425,0.0504443,0.3294,0.528999,0.497591
a948cbb498dad47fe4bf5a3124ab11a8-Paley13-k9,0.0878074,0.561968,0.454311,0.403141,0.39962
ec772545b3b8c0f104f47e277e824bda-16_16_booth_dadda_mapped_and_default_mapped_ultra_bit28,0.0976824,0.26716,0.283701,0.466994,0.418075
255f6d3ed744ebb04449fcb677a22309-okgen-c2250-v500-s2029084305-2029084305,0.0,0.150987,0.216763,0.33457,0.333889
05ed840c0a907e88e475c931f40fab83-bqwh.50.750.shuffled-as.sat05-434,0.102727,0.106686,0.369931,0.520616,0.491258
75d2a340cb1286bca39aa0c7682a8d74-bench_3159.smt2,0.0932107,0.262227,0.263113,0.450379,0.394613
c335192c00d7b3e07e421a980705a5eb-bench_1075.smt2,0.0939581,0.263952,0.264208,0.449711,0.394672
7e2f949fb3698185458b4dab695f970a-OKgenerator_s0=32s1=43n=700l=5cp=14000-Dnr0=0nr1=1-o.shuffled-as.sat05-1552,0.0,0.055978,0.0821927,0.202293,0.201154
27308296c1433137bfa8ff5191198a22-unif-k3-r4.2-v18000-c75600-S1773173258-010,0.0,0.158723,0.221309,0.333372,0.33335
6d5acb859cd2755edef91392a416b8e1-iso-icl003.shuffled-as.sat05-3237,0.0573231,0.592965,0.554137,0.364399,0.360225
d259119b134dab2c8efe5e93c322ced1-unif-k3-r4.267-v421-c1796-S4839562527790587617,0.0,0.169002,0.225084,0.334897,0.334255
16724d62e292ec626a6c8776fa79fede-c3_DD_s3_f1_e1_v1-bug-onevec-gate-0.dimacs.seq.filtered,0.124031,0.278661,0.298741,0.517735,0.468137
a4b05fbc5be28207b704e1fae4b7c8a0-FileObject_open_12,0.0467947,0.0449332,0.46575,0.5,0.5
ddd91958c7f99833af9d42cf39317cdf-rbcl_xits_09_UNKNOWN,0.0103699,0.639041,0.776602,0.346974,0.347511
87fb1d1ec01b0daaa17ea6bd1b4af229-unif-k6-r42.022-v280-c11766-S5917053135035251705,0.0,0.0373043,0.0506278,0.174321,0.17045
791ac4887a6e12e25196d38fb89d0417-unif-k5-r21.117-v360-c7602-S1291781155592389515,0.0,0.05332,0.0790302,0.204523,0.202227
68869a0ce4bee90c6ab046a102dee370-manthey_single-ordered-initialized-w40-b8,0.0817292,0.735403,0.761179,0.358202,0.369089
92861516659a772222dfb39cf59a3cef-fclqcolor-12-08-08.shuffled-as.sat05-1267,0.0699079,0.304081,0.616133,0.394079,0.397347
f2a9592283e8f09d61e34746342d0313-x9-02022.sat.sanitized,0.108548,0.0452601,0.326359,0.529085,0.497521
728665d2d8833e0a47bc6876434f2315-x9-12075.sat.sanitized,0.108425,0.0521437,0.330249,0.528966,0.497568
b2c1bf2bfc4e44068faff290a6b14f15-okgen-c1575-v450-s1506441435-1506441435,0.0,0.177239,0.241429,0.334652,0.334196
91d6a078176e451b3abac9699638228e-unif-k6-r43.37-v89-c3860-S1218289508879442649,0.0,0.0319448,0.0472808,0.192375,0.179025
42efc6c698d287932a883db10d28e515-fdmus_b14_141,0.0924866,0.20567,0.242551,0.498099,0.459822
9f69f442f67bc9b274ccfe1bc56502f2-unif-k6-r40.0-v400-c16000-S8563806982136221152,0.0,0.0329657,0.0506028,0.171985,0.169293
160ccc349f25068fdd902c067eeb0cb1-fla-550-9,0.0,0.152772,0.214053,0.334468,0.333947
3e4d4a6a1d1b2928071f18382ba216ab-5col140_15_10.shuffled,0.0368565,0.000268764,0.189385,0.552508,0.328449
57aec7caca0e877196ca8a07a51a0e1b-unif-k5-r21.117-v540-c11403-S5955214796121725857,0.0,0.055336,0.0771568,0.202984,0.201489
ac7947fe19b908c0fd89a1168e610d1e-OKgenerator_s0=32s1=36n=800l=5cp=16000-Dnr0=0nr1=3-o.shuffled-as.sat05-1564,0.0,0.0554364,0.0784328,0.202024,0.201013
b72d578dcad4ad99d9da2a3818fbac54-bench_2530.smt2,0.0941037,0.264094,0.264058,0.450018,0.394959
8767146fb98e343b60a69b29241774aa-OKgenerator_s0=32s1=40n=4000l=3cp=16800-Dnr0=0nr1=1-o.shuffled-as.sat05-1678,0.0,0.158985,0.221938,0.3335,0.333424
6bde42c3d30c7bcf44f3bc21c800e883-unif-c1400-v400-s1541435374,0.0,0.170976,0.234868,0.334958,0.334064
bce2999ca7e5817b9103cf821b33cc49-hidden-k3-s2-r5-n550-01-S680234962.shuffled-as.sat03-1055,0.0,0.151936,0.212286,0.334591,0.334092
043f806db615f7a138d4beffe3367c1a-frb45-21-1.used-as.sat04-883,0.00685889,0.0998106,0.542319,0.500714,0.500152
c68a32ccdf3b1c94c2f5441a4079d2a9-x9-03030.sat.sanitized,0.108425,0.0503133,0.329334,0.528995,0.497584
1b8d6f1e4dba280491803ad053e9fa54-fdmus_b20_113,0.0927719,0.207299,0.245521,0.490091,0.459908
09d018f3921c5d6c99146320801eddf4-bench_11006.smt2,0.0881463,0.251663,0.253596,0.439031,0.392428
6fbb18675849e8d9355693648521c074-gencnf-k6-r44.3-v123-c5448-02-S1815919685.used-as.sat04-222,0.0,0.0318463,0.0497005,0.184754,0.175474
0ee3e76605da137155ba7b4f9d898eab-unif-k3-r4.25-v540-c2295-S2037268960-098,0.0,0.161417,0.223844,0.334455,0.333893
27c5f48bd8a777b4a2e7d8adfc55874b-unif-k5-r21.3-v110-c2343-S257485978-084,0.0,0.0511147,0.0740469,0.215447,0.207476
951410af4be27ac2e302055a023a5f87-iso-brn003.shuffled-as.sat05-2928,0.0514203,0.592146,0.550744,0.363298,0.359246
ec69e0e0c080d7ce7075b479d6b07b52-unif-k6-r43.37-v214-c9281-S5123760364756529069,0.0,0.0345098,0.0468527,0.176792,0.17165
9c7cac6d95fd533c70c1322bd34153cf-fdmus_b17_400,0.0931518,0.196601,0.23759,0.512889,0.464484
70ab815c47fbb81c9aae9568e2babf3d-x9-04023.sat.sanitized,0.108548,0.0507802,0.329119,0.529005,0.497481
854f8eccf7826987af093c6b259a192f-unif-c1505-v350-s1682296121,0.0,0.159788,0.215846,0.335112,0.33421
6d2aca2a97e05cc7e5ee613891454730-mrpp_8x8#18_12,0.201345,0.379221,0.447872,0.454008,0.431333
e6f871398bec2ed29fd09681afd329cc-4col240_9_3.shuffled,0.00103986,0.000342763,0.000344932,0.5231,0.340659
3b4f000652d4a766cb91c4d42ab2529a-fdmus_b22_738,0.0923159,0.194479,0.228174,0.496855,0.461129
a037973689117c32641f961f2096038e-okgen-c1600-v400-s1362978124-1362978124,0.0,0.168332,0.238384,0.334869,0.334041
35600ef054d57e861e382087fc37de0e-unif-k7-r86.116-v160-c13779-S813936706873391741,0.0,0.0226621,0.0321301,0.16004,0.151183
ca14bd8baf145487ea6e9b0278ef3ba3-gripper10u.used-as.sat04-420,0.100407,0.317387,0.482749,0.512076,0.497391
6a64335da8a651975266fdb7d2345c53-satch2ways12,0.233194,0.409781,0.462211,0.4634,0.424143
95652fb0150d4c8a955b53e00e615cf3-unif-k4-r9.931-v161-c1599-S6763884541240260697,0.0,0.0902136,0.127385,0.25725,0.253714
0ef5a0ae2b611f9ff05c006a74893faf-x9-12022.sat.sanitized,0.108488,0.0497634,0.328835,0.529021,0.497548
2ce5d7c2f71f8d1cd6471932b1cb854e-AProVE07-03,0.121981,0.31545,0.329987,0.456023,0.413165
3efc4b3812c30b06a6b8be2caa9f2f8d-OKgenerator_s0=32s1=30n=140l=7cp=11900-Dnr0=0nr1=8-o.shuffled-as.sat05-1597,0.0,0.0226363,0.0329582,0.162681,0.152449
e77eac0b917c3429ae0ee4d655a6fb0e-hardnm-L29-02-S665597766.shuffled-as.sat03-936,0.0,0.0,0.0,0.407407,0.333333
a1b36f4dc604f0f4149c7a0f545e50fb-eqbpdtlf14bpwtcl14,0.095269,0.236745,0.2721,0.486261,0.452915
a8f5ab5ea527038730c529a5403ed385-unif-k5-r20.756-v720-c14944-S4711731192816606508,0.0,0.0555392,0.0782477,0.202236,0.201116
f02fadf5506089edc95d31c7b3d94c26-3col80_5_7.shuffled,0.060945,0.00225058,0.125463,0.604222,0.386324
4ef87312e8d6aebb37a4761c1878fa9b-hgen2-v600-s1772982715,0.0,0.0310392,0.0357143,0.333333,0.333333
b76fb60eb4059685522574e8b16af219-unif-k3-r4.25-v500-c2125-S349436298-004,0.0,0.155471,0.218876,0.334753,0.333943
c745d6865770dbed1ea079cecfa112b0-unif-k6-r41.685-v300-c12506-S7294067806889078218,0.0,0.0358605,0.0508033,0.173796,0.170204
68eff669398f07b0f360fa52c2bffbd8-bench_3370.smt2,0.0935872,0.263113,0.263445,0.450186,0.394849
7f21a1b2f551a7c0d947179e02b0f2f6-unif-p12-k5-r21.117-v250-c5279-S5146849569236987172,0.0,0.0539628,0.0739279,0.206504,0.203263
d32ea31d166b5dafcfd5f6757b1e5255-x9-03010.sat.sanitized,0.108425,0.0512663,0.329811,0.528977,0.497575
d7ecfff20f4d8adda8faacefd6a46096-bench_10417.smt2,0.109029,0.275742,0.288182,0.45724,0.403316
292fd16f1ef46f416a806ffa096e9565-mod2c-rand3bip-sat-210-3.shuffled-as.sat05-2475,0.0760203,0.170753,0.17442,0.476328,0.332259
a6bd5a751a8be9ddc3c3ae5c349f3a08-unif-k7-r85-v200-c17000-S948914005-013,0.0,0.0218465,0.0301345,0.15641,0.149472
646c5dd00cc8abd592a33e18c0d2aa39-manthey_single-ordered-initialized-w26-b7,0.0810977,0.700635,0.728851,0.361106,0.370339
6d271129ead08249b5bea80758282628-fdmus_b17_827,0.0933646,0.207263,0.246997,0.486372,0.462798
95aef5f6b8c709b12c204bafb5a6a0f0-unif-k5-r20.997-v440-c9239-S6663133301932508490,0.0,0.0569581,0.0798442,0.203706,0.201845
a67eeaff70263f98f1153183c54fb84a-unif-k7-r85-v160-c13600-S432776913-077,0.0,0.0226199,0.0322235,0.16005,0.151196
a653530218c80ff10f7415c6964a671f-unif-k3-r4.26-v500-c2130-S831119356-083.SATISFIABLE,0.0,0.156103,0.219488,0.334837,0.334236
901dfaac739b6cb18711faac9f5b909d-queen12_12.col.12,0.0111628,0.0422577,0.507451,0.503422,0.503519
4483f9654fdf809f93ded32e47cea3d3-driverlog4_ks99i.shuffled-as.sat05-4021,0.0152487,0.450294,0.695061,0.500595,0.500003
c6b56259b19a76d039d8a8695910e6a6-fdmus_b22_102,0.0929041,0.208611,0.246731,0.496563,0.462173
831b00c2a724ddd066932d4f35ea7136-unif-k7-r85.0-v200-c17000-S761239591813232757,0.0,0.0217965,0.0316203,0.156427,0.149479
7938eb1645d728244f90c8d294321338-fla-komb-440-4,0.0,0.15139,0.203111,0.334883,0.334103
b41381ab6d34dfcfd3d49e2179063079-x9-07068.sat.sanitized,0.108526,0.0490263,0.328325,0.529033,0.497519
e6f6a122f3988097a98995bfb7e1d1bb-mp1-klieber2017s-1200-022-eq,0.0952582,0.264132,0.308126,0.464563,0.458781
beedd584d62629c943f26925645c84f9-x9-04017.sat.sanitized,0.10847,0.0489123,0.328474,0.529036,0.497574
a01c43dcaabce980d78e4b658c37242c-x1_128.shuffled,0.000654021,0.00130375,0.00130375,0.468069,0.333917
cee485c7a301636a77d629b1897b476a-VanDerWaerden_pd_2-3-25_606,0.319651,0.141463,0.187487,0.337438,0.310599
ccf293841601476d5957770507753e9a-fla-qhid-200-4,0.0,0.146385,0.218377,0.336387,0.335074
de5aefa0e88c0839a7d6ac6ff4245c57-unif-k5-r21.3-v75-c1597-S602837755-005.UNKNOWN,0.0,0.0567431,0.07865,0.223208,0.211277
d0d2b062f4df5b02985ee7367b0fec5e-unif-k3-r4.26-v500-c2130-S31329941-054.SATISFIABLE,0.0,0.154557,0.223411,0.334598,0.333936
bffe864bce727b082fc643422f21b8cc-gt-014.shuffled-as.sat05-1290,0.0327678,0.0718249,0.158106,0.354203,0.34392
7f4a7c4718e49fcfef336b8c52e4fbec-unif-k7-r87.79-v122-c10710-S3248100599014039203,0.0,0.022829,0.0323186,0.165888,0.153915
aa12995a9cb4c307ec313fb1ac01a993-fdmus_b21_247,0.0929889,0.211187,0.248064,0.487552,0.456303
6a40075f05cad6b70e15a2186872147a-unif-c800-v400-s1977008968,0.0,0.234194,0.287176,0.334991,0.33416
d93ae02886fe2bfb8a43f68827225610-170201902,0.0,0.0287374,0.0355065,0.333333,0.333333
de7a6b03999e2bc5bd750831c2662a4d-noL-11-18.sanitized,0.00152963,0.331545,0.517722,0.33427,0.333384
5f3bc01bae5f8ba2032b794addd94f77-bench_5978.smt2,0.0976536,0.287452,0.300908,0.437045,0.393251
16ad0f4e6759ead8d0cff5349f0136a2-PRESENT_round_1-32_faultAt_29_fault_injections_1_seed_1579630418,0.107289,0.28195,0.306583,0.450153,0.411908
00d0eef039aa1f9cf1cf2647a58fe313-unif-k4-r9.121-v8800-c80265-S4104809886357711891,0.0,0.0917533,0.13136,0.25013,0.250065
1088a0377ff758ad610996b040982062-bench_9094.smt2,0.109867,0.274646,0.286853,0.460718,0.404877
db1905e1d74befc396c4ced0a26a4742-WS_500_16_90_70.apx_2_DS-ST,0.111355,0.232892,0.438063,0.494637,0.48525
7a3aeb9c4a0c323cef78493aaf2271b0-bench_4208.smt2,0.106614,0.30446,0.31242,0.422102,0.395785
374e8cf3bcffbc0850ab2ec2d7240b41-unif-k7-r87.79-v159-c13959-S1553474720339832474,0.0,0.0240263,0.0331656,0.16017,0.151264
99ad93fc5e796a2e617e420f907aaa88-harder-php-025-024.sat05-1191.reshuffled-07,0.0365398,0.0,0.46,0.5,0.5
24a6f26c8979387bfb3e84f686cb9e19-fdmus_b21_502,0.0926687,0.20503,0.242134,0.491318,0.460655
4b7b7f777e8f7bdfcb561af1cc0a3162-fdmus_b15_310,0.0938969,0.219415,0.261351,0.494082,0.460037
c7c11649a58fc7667a232e182fc91191-ssAES_4-4-4_round_7-10_faultAt_7_fault_injections_2_seed_1579630418,0.112187,0.291063,0.304295,0.454353,0.397733
cb521a59d61fa5e4e821f393282a1b79-rbsat-v1150c84314gyes2,0.00618452,0.0717898,0.529117,0.500501,0.5
7e99160b8bc136cb97651df47d4e489a-hgen2-v700-s548148704,0.0,0.0306624,0.0357143,0.333333,0.333333
958f324061521c3e475bd5e1e2cf6a0f-unif2p-p0.9-v1170-c4235-S2131244303-19-SAT,0.0310074,0.173537,0.239308,0.355932,0.355587
ff92e188666f7bf2b88b550a12077433-clqcolor-10-07-09.shuffled-as.sat05-1258,0.0372133,0.284254,0.611251,0.374092,0.377047
c76fa62a52285059d67e9452d1de316f-bench_3292.smt2,0.10773,0.276955,0.287926,0.453355,0.402336
